p_mut	p_inf	n_inf_n_maximum
1.0e-8	0.0	0
1.0e-8	0.0005	0
1.0e-8	0.001	0
1.0e-8	0.0015	0
1.0e-8	0.002	0
1.0e-8	0.0025	0
1.0e-8	0.003	0
1.0e-8	0.0035	0
1.0e-8	0.004	0
1.0e-8	0.0045	0
1.0e-8	0.005	0
1.0e-8	0.0055	0
1.0e-8	0.006	0
1.0e-8	0.0065	0
1.0e-8	0.007	0
1.0e-8	0.0075	3985
1.0e-8	0.008	4346
1.0e-8	0.0085	4588
1.0e-8	0.009	4640
1.0e-8	0.0095	4707
1.0e-8	0.01	4732
1.5848931924611136e-8	0.0	0
1.5848931924611136e-8	0.0005	0
1.5848931924611136e-8	0.001	0
1.5848931924611136e-8	0.0015	0
1.5848931924611136e-8	0.002	0
1.5848931924611136e-8	0.0025	0
1.5848931924611136e-8	0.003	0
1.5848931924611136e-8	0.0035	0
1.5848931924611136e-8	0.004	0
1.5848931924611136e-8	0.0045	0
1.5848931924611136e-8	0.005	0
1.5848931924611136e-8	0.0055	0
1.5848931924611136e-8	0.006	0
1.5848931924611136e-8	0.0065	0
1.5848931924611136e-8	0.007	0
1.5848931924611136e-8	0.0075	4139
1.5848931924611136e-8	0.008	4853
1.5848931924611136e-8	0.0085	4903
1.5848931924611136e-8	0.009	4909
1.5848931924611136e-8	0.0095	4853
1.5848931924611136e-8	0.01	4848
2.51188643150958e-8	0.0	0
2.51188643150958e-8	0.0005	0
2.51188643150958e-8	0.001	0
2.51188643150958e-8	0.0015	0
2.51188643150958e-8	0.002	0
2.51188643150958e-8	0.0025	0
2.51188643150958e-8	0.003	0
2.51188643150958e-8	0.0035	0
2.51188643150958e-8	0.004	0
2.51188643150958e-8	0.0045	0
2.51188643150958e-8	0.005	0
2.51188643150958e-8	0.0055	0
2.51188643150958e-8	0.006	0
2.51188643150958e-8	0.0065	0
2.51188643150958e-8	0.007	4423
2.51188643150958e-8	0.0075	4846
2.51188643150958e-8	0.008	4767
2.51188643150958e-8	0.0085	4924
2.51188643150958e-8	0.009	4955
2.51188643150958e-8	0.0095	4956
2.51188643150958e-8	0.01	4936
3.981071705534972e-8	0.0	0
3.981071705534972e-8	0.0005	0
3.981071705534972e-8	0.001	0
3.981071705534972e-8	0.0015	0
3.981071705534972e-8	0.002	0
3.981071705534972e-8	0.0025	0
3.981071705534972e-8	0.003	0
3.981071705534972e-8	0.0035	0
3.981071705534972e-8	0.004	0
3.981071705534972e-8	0.0045	0
3.981071705534972e-8	0.005	0
3.981071705534972e-8	0.0055	0
3.981071705534972e-8	0.006	0
3.981071705534972e-8	0.0065	0
3.981071705534972e-8	0.007	4761
3.981071705534972e-8	0.0075	4992
3.981071705534972e-8	0.008	4962
3.981071705534972e-8	0.0085	4995
3.981071705534972e-8	0.009	4984
3.981071705534972e-8	0.0095	4992
3.981071705534972e-8	0.01	4995
6.309573444801934e-8	0.0	0
6.309573444801934e-8	0.0005	0
6.309573444801934e-8	0.001	0
6.309573444801934e-8	0.0015	0
6.309573444801934e-8	0.002	0
6.309573444801934e-8	0.0025	0
6.309573444801934e-8	0.003	0
6.309573444801934e-8	0.0035	0
6.309573444801934e-8	0.004	0
6.309573444801934e-8	0.0045	0
6.309573444801934e-8	0.005	0
6.309573444801934e-8	0.0055	0
6.309573444801934e-8	0.006	0
6.309573444801934e-8	0.0065	0
6.309573444801934e-8	0.007	4930
6.309573444801934e-8	0.0075	4992
6.309573444801934e-8	0.008	4999
6.309573444801934e-8	0.0085	4997
6.309573444801934e-8	0.009	4999
6.309573444801934e-8	0.0095	5000
6.309573444801934e-8	0.01	5000
1.0e-7	0.0	0
1.0e-7	0.0005	0
1.0e-7	0.001	0
1.0e-7	0.0015	0
1.0e-7	0.002	0
1.0e-7	0.0025	0
1.0e-7	0.003	0
1.0e-7	0.0035	0
1.0e-7	0.004	0
1.0e-7	0.0045	0
1.0e-7	0.005	0
1.0e-7	0.0055	0
1.0e-7	0.006	0
1.0e-7	0.0065	0
1.0e-7	0.007	4998
1.0e-7	0.0075	4999
1.0e-7	0.008	5000
1.0e-7	0.0085	5000
1.0e-7	0.009	5000
1.0e-7	0.0095	5000
1.0e-7	0.01	5000
1.5848931924611133e-7	0.0	0
1.5848931924611133e-7	0.0005	0
1.5848931924611133e-7	0.001	0
1.5848931924611133e-7	0.0015	0
1.5848931924611133e-7	0.002	0
1.5848931924611133e-7	0.0025	0
1.5848931924611133e-7	0.003	0
1.5848931924611133e-7	0.0035	0
1.5848931924611133e-7	0.004	0
1.5848931924611133e-7	0.0045	0
1.5848931924611133e-7	0.005	0
1.5848931924611133e-7	0.0055	0
1.5848931924611133e-7	0.006	5000
1.5848931924611133e-7	0.0065	5000
1.5848931924611133e-7	0.007	5000
1.5848931924611133e-7	0.0075	5000
1.5848931924611133e-7	0.008	5000
1.5848931924611133e-7	0.0085	5000
1.5848931924611133e-7	0.009	5000
1.5848931924611133e-7	0.0095	5000
1.5848931924611133e-7	0.01	5000
2.5118864315095796e-7	0.0	0
2.5118864315095796e-7	0.0005	0
2.5118864315095796e-7	0.001	0
2.5118864315095796e-7	0.0015	0
2.5118864315095796e-7	0.002	0
2.5118864315095796e-7	0.0025	0
2.5118864315095796e-7	0.003	0
2.5118864315095796e-7	0.0035	0
2.5118864315095796e-7	0.004	0
2.5118864315095796e-7	0.0045	0
2.5118864315095796e-7	0.005	0
2.5118864315095796e-7	0.0055	0
2.5118864315095796e-7	0.006	5000
2.5118864315095796e-7	0.0065	5000
2.5118864315095796e-7	0.007	5000
2.5118864315095796e-7	0.0075	5000
2.5118864315095796e-7	0.008	5000
2.5118864315095796e-7	0.0085	5000
2.5118864315095796e-7	0.009	5000
2.5118864315095796e-7	0.0095	5000
2.5118864315095796e-7	0.01	5000
3.9810717055349735e-7	0.0	0
3.9810717055349735e-7	0.0005	0
3.9810717055349735e-7	0.001	0
3.9810717055349735e-7	0.0015	0
3.9810717055349735e-7	0.002	0
3.9810717055349735e-7	0.0025	0
3.9810717055349735e-7	0.003	0
3.9810717055349735e-7	0.0035	0
3.9810717055349735e-7	0.004	0
3.9810717055349735e-7	0.0045	0
3.9810717055349735e-7	0.005	0
3.9810717055349735e-7	0.0055	0
3.9810717055349735e-7	0.006	0
3.9810717055349735e-7	0.0065	5000
3.9810717055349735e-7	0.007	5000
3.9810717055349735e-7	0.0075	5000
3.9810717055349735e-7	0.008	5000
3.9810717055349735e-7	0.0085	5000
3.9810717055349735e-7	0.009	5000
3.9810717055349735e-7	0.0095	5000
3.9810717055349735e-7	0.01	5000
6.309573444801933e-7	0.0	0
6.309573444801933e-7	0.0005	0
6.309573444801933e-7	0.001	0
6.309573444801933e-7	0.0015	0
6.309573444801933e-7	0.002	0
6.309573444801933e-7	0.0025	0
6.309573444801933e-7	0.003	0
6.309573444801933e-7	0.0035	0
6.309573444801933e-7	0.004	0
6.309573444801933e-7	0.0045	0
6.309573444801933e-7	0.005	0
6.309573444801933e-7	0.0055	5000
6.309573444801933e-7	0.006	5000
6.309573444801933e-7	0.0065	5000
6.309573444801933e-7	0.007	5000
6.309573444801933e-7	0.0075	5000
6.309573444801933e-7	0.008	5000
6.309573444801933e-7	0.0085	5000
6.309573444801933e-7	0.009	5000
6.309573444801933e-7	0.0095	5000
6.309573444801933e-7	0.01	5000
1.0e-6	0.0	0
1.0e-6	0.0005	0
1.0e-6	0.001	0
1.0e-6	0.0015	0
1.0e-6	0.002	0
1.0e-6	0.0025	0
1.0e-6	0.003	0
1.0e-6	0.0035	0
1.0e-6	0.004	0
1.0e-6	0.0045	0
1.0e-6	0.005	0
1.0e-6	0.0055	5000
1.0e-6	0.006	5000
1.0e-6	0.0065	0
1.0e-6	0.007	5000
1.0e-6	0.0075	5000
1.0e-6	0.008	5000
1.0e-6	0.0085	5000
1.0e-6	0.009	5000
1.0e-6	0.0095	5000
1.0e-6	0.01	5000
1.5848931924611143e-6	0.0	0
1.5848931924611143e-6	0.0005	0
1.5848931924611143e-6	0.001	0
1.5848931924611143e-6	0.0015	0
1.5848931924611143e-6	0.002	0
1.5848931924611143e-6	0.0025	0
1.5848931924611143e-6	0.003	0
1.5848931924611143e-6	0.0035	0
1.5848931924611143e-6	0.004	0
1.5848931924611143e-6	0.0045	0
1.5848931924611143e-6	0.005	5000
1.5848931924611143e-6	0.0055	0
1.5848931924611143e-6	0.006	5000
1.5848931924611143e-6	0.0065	5000
1.5848931924611143e-6	0.007	5000
1.5848931924611143e-6	0.0075	5000
1.5848931924611143e-6	0.008	5000
1.5848931924611143e-6	0.0085	5000
1.5848931924611143e-6	0.009	5000
1.5848931924611143e-6	0.0095	5000
1.5848931924611143e-6	0.01	5000
2.5118864315095797e-6	0.0	0
2.5118864315095797e-6	0.0005	0
2.5118864315095797e-6	0.001	0
2.5118864315095797e-6	0.0015	0
2.5118864315095797e-6	0.002	0
2.5118864315095797e-6	0.0025	0
2.5118864315095797e-6	0.003	0
2.5118864315095797e-6	0.0035	0
2.5118864315095797e-6	0.004	0
2.5118864315095797e-6	0.0045	5000
2.5118864315095797e-6	0.005	5000
2.5118864315095797e-6	0.0055	5000
2.5118864315095797e-6	0.006	5000
2.5118864315095797e-6	0.0065	5000
2.5118864315095797e-6	0.007	5000
2.5118864315095797e-6	0.0075	5000
2.5118864315095797e-6	0.008	5000
2.5118864315095797e-6	0.0085	5000
2.5118864315095797e-6	0.009	5000
2.5118864315095797e-6	0.0095	5000
2.5118864315095797e-6	0.01	5000
3.981071705534973e-6	0.0	0
3.981071705534973e-6	0.0005	0
3.981071705534973e-6	0.001	0
3.981071705534973e-6	0.0015	0
3.981071705534973e-6	0.002	0
3.981071705534973e-6	0.0025	0
3.981071705534973e-6	0.003	0
3.981071705534973e-6	0.0035	0
3.981071705534973e-6	0.004	0
3.981071705534973e-6	0.0045	0
3.981071705534973e-6	0.005	0
3.981071705534973e-6	0.0055	0
3.981071705534973e-6	0.006	5000
3.981071705534973e-6	0.0065	5000
3.981071705534973e-6	0.007	5000
3.981071705534973e-6	0.0075	5000
3.981071705534973e-6	0.008	5000
3.981071705534973e-6	0.0085	5000
3.981071705534973e-6	0.009	5000
3.981071705534973e-6	0.0095	5000
3.981071705534973e-6	0.01	5000
6.3095734448019305e-6	0.0	0
6.3095734448019305e-6	0.0005	0
6.3095734448019305e-6	0.001	0
6.3095734448019305e-6	0.0015	0
6.3095734448019305e-6	0.002	0
6.3095734448019305e-6	0.0025	0
6.3095734448019305e-6	0.003	0
6.3095734448019305e-6	0.0035	0
6.3095734448019305e-6	0.004	0
6.3095734448019305e-6	0.0045	0
6.3095734448019305e-6	0.005	0
6.3095734448019305e-6	0.0055	0
6.3095734448019305e-6	0.006	5000
6.3095734448019305e-6	0.0065	5000
6.3095734448019305e-6	0.007	5000
6.3095734448019305e-6	0.0075	5000
6.3095734448019305e-6	0.008	5000
6.3095734448019305e-6	0.0085	5000
6.3095734448019305e-6	0.009	5000
6.3095734448019305e-6	0.0095	5000
6.3095734448019305e-6	0.01	5000
1.0e-5	0.0	0
1.0e-5	0.0005	0
1.0e-5	0.001	0
1.0e-5	0.0015	0
1.0e-5	0.002	0
1.0e-5	0.0025	0
1.0e-5	0.003	0
1.0e-5	0.0035	0
1.0e-5	0.004	0
1.0e-5	0.0045	0
1.0e-5	0.005	0
1.0e-5	0.0055	0
1.0e-5	0.006	5000
1.0e-5	0.0065	5000
1.0e-5	0.007	5000
1.0e-5	0.0075	5000
1.0e-5	0.008	5000
1.0e-5	0.0085	5000
1.0e-5	0.009	5000
1.0e-5	0.0095	5000
1.0e-5	0.01	5000
1.584893192461114e-5	0.0	0
1.584893192461114e-5	0.0005	0
1.584893192461114e-5	0.001	0
1.584893192461114e-5	0.0015	0
1.584893192461114e-5	0.002	0
1.584893192461114e-5	0.0025	0
1.584893192461114e-5	0.003	0
1.584893192461114e-5	0.0035	0
1.584893192461114e-5	0.004	0
1.584893192461114e-5	0.0045	0
1.584893192461114e-5	0.005	0
1.584893192461114e-5	0.0055	5000
1.584893192461114e-5	0.006	5000
1.584893192461114e-5	0.0065	5000
1.584893192461114e-5	0.007	5000
1.584893192461114e-5	0.0075	5000
1.584893192461114e-5	0.008	5000
1.584893192461114e-5	0.0085	5000
1.584893192461114e-5	0.009	5000
1.584893192461114e-5	0.0095	5000
1.584893192461114e-5	0.01	5000
2.5118864315095798e-5	0.0	0
2.5118864315095798e-5	0.0005	0
2.5118864315095798e-5	0.001	0
2.5118864315095798e-5	0.0015	0
2.5118864315095798e-5	0.002	0
2.5118864315095798e-5	0.0025	0
2.5118864315095798e-5	0.003	0
2.5118864315095798e-5	0.0035	0
2.5118864315095798e-5	0.004	0
2.5118864315095798e-5	0.0045	0
2.5118864315095798e-5	0.005	0
2.5118864315095798e-5	0.0055	5000
2.5118864315095798e-5	0.006	5000
2.5118864315095798e-5	0.0065	5000
2.5118864315095798e-5	0.007	5000
2.5118864315095798e-5	0.0075	5000
2.5118864315095798e-5	0.008	5000
2.5118864315095798e-5	0.0085	5000
2.5118864315095798e-5	0.009	5000
2.5118864315095798e-5	0.0095	5000
2.5118864315095798e-5	0.01	5000
3.9810717055349735e-5	0.0	0
3.9810717055349735e-5	0.0005	0
3.9810717055349735e-5	0.001	0
3.9810717055349735e-5	0.0015	0
3.9810717055349735e-5	0.002	0
3.9810717055349735e-5	0.0025	0
3.9810717055349735e-5	0.003	0
3.9810717055349735e-5	0.0035	0
3.9810717055349735e-5	0.004	0
3.9810717055349735e-5	0.0045	0
3.9810717055349735e-5	0.005	5000
3.9810717055349735e-5	0.0055	5000
3.9810717055349735e-5	0.006	0
3.9810717055349735e-5	0.0065	0
3.9810717055349735e-5	0.007	5000
3.9810717055349735e-5	0.0075	5000
3.9810717055349735e-5	0.008	5000
3.9810717055349735e-5	0.0085	5000
3.9810717055349735e-5	0.009	5000
3.9810717055349735e-5	0.0095	5000
3.9810717055349735e-5	0.01	5000
6.30957344480193e-5	0.0	0
6.30957344480193e-5	0.0005	0
6.30957344480193e-5	0.001	0
6.30957344480193e-5	0.0015	0
6.30957344480193e-5	0.002	0
6.30957344480193e-5	0.0025	0
6.30957344480193e-5	0.003	0
6.30957344480193e-5	0.0035	0
6.30957344480193e-5	0.004	5000
6.30957344480193e-5	0.0045	5000
6.30957344480193e-5	0.005	0
6.30957344480193e-5	0.0055	0
6.30957344480193e-5	0.006	0
6.30957344480193e-5	0.0065	0
6.30957344480193e-5	0.007	0
6.30957344480193e-5	0.0075	0
6.30957344480193e-5	0.008	5000
6.30957344480193e-5	0.0085	5000
6.30957344480193e-5	0.009	5000
6.30957344480193e-5	0.0095	5000
6.30957344480193e-5	0.01	5000
0.0001	0.0	0
0.0001	0.0005	0
0.0001	0.001	0
0.0001	0.0015	0
0.0001	0.002	0
0.0001	0.0025	0
0.0001	0.003	0
0.0001	0.0035	0
0.0001	0.004	0
0.0001	0.0045	0
0.0001	0.005	0
0.0001	0.0055	0
0.0001	0.006	0
0.0001	0.0065	0
0.0001	0.007	0
0.0001	0.0075	0
0.0001	0.008	5000
0.0001	0.0085	0
0.0001	0.009	5000
0.0001	0.0095	5000
0.0001	0.01	5000
0.00015848931924611142	0.0	0
0.00015848931924611142	0.0005	0
0.00015848931924611142	0.001	0
0.00015848931924611142	0.0015	0
0.00015848931924611142	0.002	0
0.00015848931924611142	0.0025	0
0.00015848931924611142	0.003	0
0.00015848931924611142	0.0035	0
0.00015848931924611142	0.004	0
0.00015848931924611142	0.0045	0
0.00015848931924611142	0.005	0
0.00015848931924611142	0.0055	0
0.00015848931924611142	0.006	0
0.00015848931924611142	0.0065	0
0.00015848931924611142	0.007	0
0.00015848931924611142	0.0075	0
0.00015848931924611142	0.008	0
0.00015848931924611142	0.0085	0
0.00015848931924611142	0.009	0
0.00015848931924611142	0.0095	0
0.00015848931924611142	0.01	0
0.0002511886431509582	0.0	0
0.0002511886431509582	0.0005	0
0.0002511886431509582	0.001	0
0.0002511886431509582	0.0015	0
0.0002511886431509582	0.002	0
0.0002511886431509582	0.0025	0
0.0002511886431509582	0.003	0
0.0002511886431509582	0.0035	0
0.0002511886431509582	0.004	0
0.0002511886431509582	0.0045	0
0.0002511886431509582	0.005	0
0.0002511886431509582	0.0055	0
0.0002511886431509582	0.006	0
0.0002511886431509582	0.0065	0
0.0002511886431509582	0.007	0
0.0002511886431509582	0.0075	0
0.0002511886431509582	0.008	0
0.0002511886431509582	0.0085	0
0.0002511886431509582	0.009	0
0.0002511886431509582	0.0095	0
0.0002511886431509582	0.01	0
0.0003981071705534969	0.0	0
0.0003981071705534969	0.0005	0
0.0003981071705534969	0.001	0
0.0003981071705534969	0.0015	0
0.0003981071705534969	0.002	0
0.0003981071705534969	0.0025	0
0.0003981071705534969	0.003	0
0.0003981071705534969	0.0035	0
0.0003981071705534969	0.004	0
0.0003981071705534969	0.0045	0
0.0003981071705534969	0.005	0
0.0003981071705534969	0.0055	0
0.0003981071705534969	0.006	0
0.0003981071705534969	0.0065	0
0.0003981071705534969	0.007	0
0.0003981071705534969	0.0075	0
0.0003981071705534969	0.008	0
0.0003981071705534969	0.0085	0
0.0003981071705534969	0.009	0
0.0003981071705534969	0.0095	0
0.0003981071705534969	0.01	0
0.000630957344480193	0.0	0
0.000630957344480193	0.0005	0
0.000630957344480193	0.001	0
0.000630957344480193	0.0015	0
0.000630957344480193	0.002	0
0.000630957344480193	0.0025	0
0.000630957344480193	0.003	0
0.000630957344480193	0.0035	0
0.000630957344480193	0.004	0
0.000630957344480193	0.0045	0
0.000630957344480193	0.005	0
0.000630957344480193	0.0055	0
0.000630957344480193	0.006	0
0.000630957344480193	0.0065	0
0.000630957344480193	0.007	0
0.000630957344480193	0.0075	0
0.000630957344480193	0.008	0
0.000630957344480193	0.0085	0
0.000630957344480193	0.009	0
0.000630957344480193	0.0095	0
0.000630957344480193	0.01	0
0.001	0.0	0
0.001	0.0005	0
0.001	0.001	0
0.001	0.0015	0
0.001	0.002	0
0.001	0.0025	0
0.001	0.003	0
0.001	0.0035	0
0.001	0.004	0
0.001	0.0045	0
0.001	0.005	0
0.001	0.0055	0
0.001	0.006	0
0.001	0.0065	0
0.001	0.007	0
0.001	0.0075	0
0.001	0.008	0
0.001	0.0085	0
0.001	0.009	0
0.001	0.0095	0
0.001	0.01	0
0.001584893192461114	0.0	0
0.001584893192461114	0.0005	0
0.001584893192461114	0.001	0
0.001584893192461114	0.0015	0
0.001584893192461114	0.002	0
0.001584893192461114	0.0025	0
0.001584893192461114	0.003	0
0.001584893192461114	0.0035	0
0.001584893192461114	0.004	0
0.001584893192461114	0.0045	0
0.001584893192461114	0.005	0
0.001584893192461114	0.0055	0
0.001584893192461114	0.006	0
0.001584893192461114	0.0065	0
0.001584893192461114	0.007	0
0.001584893192461114	0.0075	0
0.001584893192461114	0.008	0
0.001584893192461114	0.0085	0
0.001584893192461114	0.009	0
0.001584893192461114	0.0095	0
0.001584893192461114	0.01	0
0.002511886431509582	0.0	0
0.002511886431509582	0.0005	0
0.002511886431509582	0.001	0
0.002511886431509582	0.0015	0
0.002511886431509582	0.002	0
0.002511886431509582	0.0025	0
0.002511886431509582	0.003	0
0.002511886431509582	0.0035	0
0.002511886431509582	0.004	0
0.002511886431509582	0.0045	0
0.002511886431509582	0.005	0
0.002511886431509582	0.0055	0
0.002511886431509582	0.006	0
0.002511886431509582	0.0065	0
0.002511886431509582	0.007	0
0.002511886431509582	0.0075	0
0.002511886431509582	0.008	0
0.002511886431509582	0.0085	0
0.002511886431509582	0.009	0
0.002511886431509582	0.0095	0
0.002511886431509582	0.01	0
0.003981071705534969	0.0	0
0.003981071705534969	0.0005	0
0.003981071705534969	0.001	0
0.003981071705534969	0.0015	0
0.003981071705534969	0.002	0
0.003981071705534969	0.0025	0
0.003981071705534969	0.003	0
0.003981071705534969	0.0035	0
0.003981071705534969	0.004	0
0.003981071705534969	0.0045	0
0.003981071705534969	0.005	0
0.003981071705534969	0.0055	0
0.003981071705534969	0.006	0
0.003981071705534969	0.0065	0
0.003981071705534969	0.007	0
0.003981071705534969	0.0075	0
0.003981071705534969	0.008	0
0.003981071705534969	0.0085	0
0.003981071705534969	0.009	0
0.003981071705534969	0.0095	0
0.003981071705534969	0.01	0
0.00630957344480193	0.0	0
0.00630957344480193	0.0005	0
0.00630957344480193	0.001	0
0.00630957344480193	0.0015	0
0.00630957344480193	0.002	0
0.00630957344480193	0.0025	0
0.00630957344480193	0.003	0
0.00630957344480193	0.0035	0
0.00630957344480193	0.004	0
0.00630957344480193	0.0045	0
0.00630957344480193	0.005	0
0.00630957344480193	0.0055	0
0.00630957344480193	0.006	0
0.00630957344480193	0.0065	0
0.00630957344480193	0.007	0
0.00630957344480193	0.0075	0
0.00630957344480193	0.008	0
0.00630957344480193	0.0085	0
0.00630957344480193	0.009	0
0.00630957344480193	0.0095	0
0.00630957344480193	0.01	0
0.01	0.0	0
0.01	0.0005	0
0.01	0.001	0
0.01	0.0015	0
0.01	0.002	0
0.01	0.0025	0
0.01	0.003	0
0.01	0.0035	0
0.01	0.004	0
0.01	0.0045	0
0.01	0.005	0
0.01	0.0055	0
0.01	0.006	0
0.01	0.0065	0
0.01	0.007	0
0.01	0.0075	0
0.01	0.008	0
0.01	0.0085	0
0.01	0.009	0
0.01	0.0095	0
0.01	0.01	0
0.01584893192461114	0.0	0
0.01584893192461114	0.0005	0
0.01584893192461114	0.001	0
0.01584893192461114	0.0015	0
0.01584893192461114	0.002	0
0.01584893192461114	0.0025	0
0.01584893192461114	0.003	0
0.01584893192461114	0.0035	0
0.01584893192461114	0.004	0
0.01584893192461114	0.0045	0
0.01584893192461114	0.005	0
0.01584893192461114	0.0055	0
0.01584893192461114	0.006	0
0.01584893192461114	0.0065	0
0.01584893192461114	0.007	0
0.01584893192461114	0.0075	0
0.01584893192461114	0.008	0
0.01584893192461114	0.0085	0
0.01584893192461114	0.009	0
0.01584893192461114	0.0095	0
0.01584893192461114	0.01	0
0.025118864315095822	0.0	0
0.025118864315095822	0.0005	0
0.025118864315095822	0.001	0
0.025118864315095822	0.0015	0
0.025118864315095822	0.002	0
0.025118864315095822	0.0025	0
0.025118864315095822	0.003	0
0.025118864315095822	0.0035	0
0.025118864315095822	0.004	0
0.025118864315095822	0.0045	0
0.025118864315095822	0.005	0
0.025118864315095822	0.0055	0
0.025118864315095822	0.006	0
0.025118864315095822	0.0065	0
0.025118864315095822	0.007	0
0.025118864315095822	0.0075	0
0.025118864315095822	0.008	0
0.025118864315095822	0.0085	0
0.025118864315095822	0.009	0
0.025118864315095822	0.0095	0
0.025118864315095822	0.01	0
0.03981071705534969	0.0	0
0.03981071705534969	0.0005	0
0.03981071705534969	0.001	0
0.03981071705534969	0.0015	0
0.03981071705534969	0.002	0
0.03981071705534969	0.0025	0
0.03981071705534969	0.003	0
0.03981071705534969	0.0035	0
0.03981071705534969	0.004	0
0.03981071705534969	0.0045	0
0.03981071705534969	0.005	0
0.03981071705534969	0.0055	0
0.03981071705534969	0.006	0
0.03981071705534969	0.0065	0
0.03981071705534969	0.007	0
0.03981071705534969	0.0075	0
0.03981071705534969	0.008	0
0.03981071705534969	0.0085	0
0.03981071705534969	0.009	0
0.03981071705534969	0.0095	0
0.03981071705534969	0.01	0
0.0630957344480193	0.0	0
0.0630957344480193	0.0005	0
0.0630957344480193	0.001	0
0.0630957344480193	0.0015	0
0.0630957344480193	0.002	0
0.0630957344480193	0.0025	0
0.0630957344480193	0.003	0
0.0630957344480193	0.0035	0
0.0630957344480193	0.004	0
0.0630957344480193	0.0045	0
0.0630957344480193	0.005	0
0.0630957344480193	0.0055	0
0.0630957344480193	0.006	0
0.0630957344480193	0.0065	0
0.0630957344480193	0.007	0
0.0630957344480193	0.0075	0
0.0630957344480193	0.008	0
0.0630957344480193	0.0085	0
0.0630957344480193	0.009	0
0.0630957344480193	0.0095	0
0.0630957344480193	0.01	0
